Country;Gold;Silver;Bronze;Total
Albania;0;0;1;1
Algeria;2;0;1;3
Argentina;1;1;1;3
Armenia;0;3;1;4
Australia;18;18;14;50
Austria;2;0;3;5
Azerbaijan;2;2;2;6
Bahrain;1;1;1;3
Belgium;3;1;6;10
Botswana;1;1;0;2
Brazil;3;7;10;20
Bulgaria;3;1;3;7
Cabo Verde;0;0;1;1
Canada;9;7;11;27
Chile;1;1;0;2
Chinese Taipei;2;0;5;7
Colombia;0;3;0;3
Côte d'Ivoire;0;0;1;1
Croatia;2;1;3;6
Cuba;2;1;5;8
Cyprus;0;1;0;1
Czechia;3;0;2;5
Democratic People's Republic of Korea;0;2;4;6
Denmark;1;2;5;8
Dominica;1;0;0;1
Dominican Republic;1;0;2;3
Ecuador;1;2;2;5
Egypt;1;1;1;3
Ethiopia;1;3;0;4
Fiji;0;1;0;1
France;16;24;22;62
Georgia;3;2;1;6
Germany;12;11;8;31
Great Britain;14;22;27;63
Greece;1;1;6;8
Grenada;0;0;2;2
Guatemala;1;0;1;2
Hong Kong-China;2;0;2;4
Hungary;5;7;6;18
India;0;1;5;6
Indonesia;2;0;1;3
Ireland;4;0;3;7
Islamic Republic of Iran;3;5;2;10
Israel;1;5;1;7
Italy;11;13;15;39
Jamaica;1;3;2;6
Japan;18;12;13;43
Jordan;0;1;0;1
Kazakhstan;1;3;3;7
Kenya;4;2;5;11
Kosovo;0;1;1;2
Kyrgyzstan;0;2;4;6
Lithuania;0;2;2;4
Malaysia;0;0;2;2
Mexico;0;3;2;5
Mongolia;0;1;0;1
Morocco;1;0;1;2
Netherlands;14;7;12;33
New Zealand;9;7;2;18
Norway;4;1;3;8
Pakistan;1;0;0;1
Panama;0;1;0;1
People's Republic of China;39;27;24;90
Peru;0;0;1;1
Philippines;2;0;2;4
Poland;1;3;5;9
Portugal;1;2;1;4
Puerto Rico;0;0;1;1
Qatar;0;0;1;1
Refugee Olympic Team;0;0;1;1
Republic of Korea;13;8;9;30
Republic of Moldova;0;1;3;4
Romania;3;4;1;8
Saint Lucia;1;1;0;2
Serbia;2;1;1;4
Singapore;0;0;1;1
Slovakia;0;0;1;1
Slovenia;2;1;0;3
South Africa;1;3;2;6
Spain;5;4;9;18
Sweden;4;4;3;11
Switzerland;1;2;5;8
TÃ¼rkiye;0;3;5;8
Tajikistan;0;0;3;3
Thailand;1;3;2;6
Tunisia;1;1;1;3
Uganda;1;1;0;2
Ukraine;3;5;4;12
United States of America;38;42;42;122
Uzbekistan;8;2;3;13
Zambia;0;0;1;1
